drug_a	drug_b	cell_line	score	fold
5-FU	ABT-888	A2058	7.6935301658	2
5-FU	ABT-888	A2780	7.7780530600999995	2
5-FU	ABT-888	A375	-1.1985054379	2
5-FU	ABT-888	A427	2.5956844375	2
5-FU	ABT-888	CAOV3	-5.1399712212	2
5-FU	ABT-888	COLO320DM	4.1759364346	2
5-FU	ABT-888	DLD1	1.9351271187999999	2
5-FU	ABT-888	EFM192B	-5.0898528562	2
5-FU	ABT-888	ES2	1.4986504516999999	2
5-FU	ABT-888	HCT116	9.4632808694	2
5-FU	ABT-888	HT144	-3.7013547459	2
5-FU	ABT-888	HT29	10.1734339084	2
5-FU	ABT-888	KPL1	2.1570044282	2
5-FU	ABT-888	LNCAP	1.6326315853	2
5-FU	ABT-888	LOVO	-8.9792139458	2
5-FU	ABT-888	MDAMB436	6.8992599953	2
5-FU	ABT-888	MSTO	-1.7930738645	2
5-FU	ABT-888	NCIH1650	-5.996370296499999	2
5-FU	ABT-888	NCIH2122	7.890256814400001	2
5-FU	ABT-888	NCIH23	-5.0426523057	2
5-FU	ABT-888	NCIH460	-6.611947916599999	2
5-FU	ABT-888	NCIH520	3.6988348483999998	2
5-FU	ABT-888	OCUBM	3.9321484531	2
5-FU	ABT-888	OV90	-10.068847613700001	2
5-FU	ABT-888	OVCAR3	17.637032868	2
5-FU	ABT-888	PA1	5.6864884514	2
5-FU	ABT-888	RKO	-2.6775877856	2
5-FU	ABT-888	RPMI7951	-2.1732219296	2
5-FU	ABT-888	SKMEL30	-36.4592295758	2
5-FU	ABT-888	SKMES1	-0.08642457939999999	2
5-FU	ABT-888	SKOV3	5.0771773842000005	2
5-FU	ABT-888	SW620	0.1081077187	2
5-FU	ABT-888	SW837	-14.523108627300001	2
5-FU	ABT-888	T47D	17.4857954498	2
5-FU	ABT-888	UACC62	-1.5839637825	2
5-FU	ABT-888	UWB1289BRCA1	6.5772638315	2
5-FU	ABT-888	UWB1289	12.1947974084	2
5-FU	ABT-888	VCAP	1.0961027615	2
5-FU	ABT-888	ZR751	-8.6753170435	2
5-FU	AZD1775	A2058	13.0526874408	1
5-FU	AZD1775	A2780	11.2772729471	1
5-FU	AZD1775	A375	2.7051275464	1
5-FU	AZD1775	A427	7.4940610975	1
5-FU	AZD1775	CAOV3	23.9861795387	1
5-FU	AZD1775	COLO320DM	9.3986845957	1
5-FU	AZD1775	DLD1	9.8201244067	1
5-FU	AZD1775	EFM192B	2.9248207557	1
5-FU	AZD1775	ES2	10.057526086900001	1
5-FU	AZD1775	HCT116	13.9612713843	1
5-FU	AZD1775	HT144	6.0653890015	1
5-FU	AZD1775	HT29	-2.7122052410000004	1
5-FU	AZD1775	KPL1	-2.0611613488	1
5-FU	AZD1775	LNCAP	9.970389406599999	1
5-FU	AZD1775	LOVO	-4.0015073281	1
5-FU	AZD1775	MDAMB436	23.381134197199998	1
5-FU	AZD1775	MSTO	-32.9906191851	1
5-FU	AZD1775	NCIH1650	10.773397668	1
5-FU	AZD1775	NCIH2122	4.3178885654000005	1
5-FU	AZD1775	NCIH23	-7.1158991851	1
5-FU	AZD1775	NCIH460	13.5826976918	1
5-FU	AZD1775	NCIH520	2.5787085802000003	1
5-FU	AZD1775	OCUBM	33.5929258791	1
5-FU	AZD1775	OV90	-3.1936519467	1
5-FU	AZD1775	OVCAR3	12.2336919622	1
5-FU	AZD1775	PA1	25.072624767199997	1
5-FU	AZD1775	RKO	19.3332015124	1
5-FU	AZD1775	RPMI7951	16.722015115999998	1
5-FU	AZD1775	SKMEL30	2.2887188875	1
5-FU	AZD1775	SKMES1	33.3532583969	1
